ticker,start_date,end_date
DI,1996-01-02,1998-09-30
JPM,1996-01-02,
HIG,1996-01-02,
IFF,1996-01-02,
SRR,1996-01-02,1997-10-07
BKB,1996-01-02,1999-10-01
HAS,1996-01-02,
TOY,1996-01-02,2005-07-22
X,1996-01-02,2014-07-02
TAP,1996-01-02,
TWX,1996-01-02,2018-06-15
BBI,1996-01-02,1998-01-12
HD,1996-01-02,
INCLF,1996-01-02,2002-07-22
CAR,1996-01-02,2006-08-01
MEL,1996-01-02,2007-07-02
AM,1996-01-02,2004-05-03
CSR,1996-01-02,2000-06-16
LUV,1996-01-02,
USH,1996-01-02,1997-06-18
GWF,1996-01-02,1997-07-02
XEL,1996-01-02,
FG,1996-01-02,1998-04-27
HSH,1996-01-02,2012-06-29
MKG,1996-01-02,2000-10-18
SIAL,1996-01-02,2015-11-18
GRN,1996-01-02,1998-12-22
NRTLQ,1996-01-02,2002-07-22
NCC,1996-01-02,2009-01-02
RRD,1996-01-02,2012-12-12
SCI,1996-01-02,2000-03-16
USBC,1996-01-02,1997-08-04
SVU,1996-01-02,2012-05-01
MSI,1996-01-02,
LMT,1996-01-02,
DOV,1996-01-02,
VO,1996-01-02,2000-12-11
LB,1996-01-02,2021-08-03
ROH,1996-01-02,2009-04-02
BSX,1996-01-02,
LLX,1996-01-02,1997-10-23
MAS,1996-01-02,
MRK,1996-01-02,
FLMIQ,1996-01-02,1997-12-24
GLW,1996-01-02,
DRI,1996-01-02,
SK,1996-01-02,1998-04-01
GSX,1996-01-02,1998-10-07
HES,1996-01-02,
MRO,1996-01-02,2024-11-26
YRCW,1996-01-02,1996-11-04
AAPL,1996-01-02,
AXP,1996-01-02,
GWW,1996-01-02,
CGP,1996-01-02,2001-01-30
THC,1996-01-02,2016-04-18
TMK,1996-01-02,2019-08-08
ITT,1996-01-02,2011-11-01
TLAB,1996-01-02,2011-12-21
GIS,1996-01-02,
TXT,1996-01-02,
WB,1996-01-02,2009-01-02
THY,1996-01-02,1996-10-16
ECL,1996-01-02,
FCN,1996-01-02,1998-10-02
PAC,1996-01-02,1997-04-01
ARC,1996-01-02,2000-04-18
OKE,1996-01-02,2001-08-30
SYY,1996-01-02,
NSC,1996-01-02,
PVN,1996-01-02,2005-10-03
WBA,1996-01-02,
SUN,1996-01-02,2012-10-05
SWK,1996-01-02,
UN,1996-01-02,2002-07-22
NYT,1996-01-02,2010-12-20
L,1996-01-02,
SNT,1996-01-02,1999-10-26
JWN,1996-01-02,2020-06-22
BNL,1996-01-02,1998-07-01
SMI,1996-01-02,2000-12-12
UCM,1996-01-02,2000-10-23
BA,1996-01-02,
G,1996-01-02,2005-10-03
AT,1996-01-02,2007-11-19
MDT,1996-01-02,
TCOMA,1996-01-02,1999-03-10
GIDL,1996-01-02,1997-07-17
NEM,1996-01-02,
BMET,1996-01-02,2007-07-12
GTE,1996-01-02,2000-07-03
PX,1996-01-02,2018-10-31
NSM,1996-01-02,2011-09-26
F,1996-01-02,
ADSK,1996-01-02,
GPS,1996-01-02,2022-02-02
BF.B,1996-01-02,
NSI,1996-01-02,2001-12-03
SHN,1996-01-02,1997-01-02
PMI,1996-01-02,1996-05-31
FDX,1996-01-02,
BK,1996-01-02,
RSHCQ,1996-01-02,2011-07-01
EFU,1996-01-02,2000-11-02
MCIC,1996-01-02,1998-09-15
WLL,1996-01-02,2002-02-11
GPC,1996-01-02,
DD,1996-01-02,2017-09-01
ORX,1996-01-02,1999-03-01
